# 슬라이드 이미지 출처·라이선스
# 초기 세션에서 수집한 일부는 출처가 (미기록). 재사용·배포 전 확인 필요.
file	week	size	bytes	license	author	source
w02-01-001.webp	2	1000x788	100KB	교수자 제공	박지혜	(직접 제공 이미지)
w02-01-002.webp	2	1000x600	51KB	CC BY-SA 4.0	아슐리안 주먹도끼	(슬라이드 캡션 기준)
w02-01-003.webp	2	886x1200	124KB	Public Domain	존 프리어, 1797년 도해	(슬라이드 캡션 기준)
w02-01-004.webp	2	1000x666	39KB	CC0	르발루아 몸돌과 격지, 타분 동굴 출토	(슬라이드 캡션 기준)
w02-01-005.webp	2	1000x893	159KB	Public Domain	라스코 동굴벽화(복제)	(슬라이드 캡션 기준)
w02-01-006.webp	2	1000x666	37KB	CC0	신석기시대 토기	(슬라이드 캡션 기준)
w02-01-007.webp	2	797x1200	223KB	CC BY-SA 3.0	괴베클리 테페, 튀르키예	(슬라이드 캡션 기준)
w02-01-009.webp	2	800x600	109KB	Public Domain	네바문 무덤 벽화, 기원전 1350년경	(슬라이드 캡션 기준)
w02-01-013.webp	2	1100x753	135KB	CC BY-SA 3.0	로마 기름램프(firmalampen), 대영박물관	(슬라이드 캡션 기준)
w02-01-014.webp	2	673x1200	14KB	CC0	고려청자 참외모양 화병	(슬라이드 캡션 기준)
w02-02-008.webp	2	1000x666	76KB	CC BY-SA 4.0	스톤헨지, 잉글랜드	(슬라이드 캡션 기준)
w02-02-010.webp	2	800x600	69KB	Public Domain	파르테논 신전, 기원전 447~432년	(슬라이드 캡션 기준)
w02-03-011.webp	2	800x600	71KB	CC BY-SA 4.0	콜로세움, 기원후 80년	(슬라이드 캡션 기준)
w02-artist-michelangelo.webp	2	845x1200	51KB	Public domain	Attributed to Jacopino del Conte	File:Jacopo del Conte - Portrait of Michelangelo - WGA5207.jpg
w02-baroque-peterskirche.webp	2	1200x953	216KB	CC BY-SA 4.0	Jules Verne Times Two	File:Peterskirche dome and altar (Vienna).jpg
w02-bed-ware.webp	2	702x521	52KB	CC BY-SA 3.0	The original uploader was VAwebteam at English Wikipedia.	File:Bed of Ware.jpg
w02-egypt-narmer.webp	2	802x1200	85KB	CC BY-SA 4.0	Heagy1	File:Narmer Palette (verso).jpg
w02-george3-chair.webp	2	878x1200	36KB	Public domain	Unknown artistUnknown artist	File:Side Chair (England), ca. 1780 (CH 18103877).jpg
w02-greece-orders.webp	2	1200x771	136KB	Public domain	Unknown authorUnknown author, scan by sidonius 16:34, 7 Nove	File:Schema Saeulenordnungen.jpg
w02-guild-mendel.webp	2	672x964	97KB	Public domain	Anonymous	File:Mendel II 134 v.jpg
w02-hepplewhite.webp	2	798x1200	134KB	CC BY-SA 3.0	This media: R. de Salis} ; Subject: Chair designed by George	File:Hepplewhite shield-shaped dining chair in 'country house' condition, May 2014.jpg
w02-hero-cellini.webp	2	1500x1183	120KB	CC0	Vassil	File:Saliera Cellini Vienna 18 04 2013 01 B.jpg
w02-hero-chartres.webp	2	1500x1000	181KB	CC BY-SA 3.0	Dcconsta	File:Chartres cathedral (West façade).jpg
w02-hero-colosseum.webp	2	1500x1000	168KB	CC0	Wilfredor	File:Colosseum of Rome and Roman forum.jpg
w02-hero-duomo.webp	2	1500x1000	161KB	CC BY 2.5	sailko	File:Cupola di santa maria del fiore dal campanile di giotto, 01.JPG
w02-hero-giza.webp	2	1500x1000	131KB	CC BY 2.5	Nina	File:Kheops-Pyramid.jpg
w02-hero-parthenon.webp	2	1500x1000	149KB	Public domain	User:Mountain	File:Parthenon from west.jpg
w02-hero-pavilion.webp	2	1500x1000	202KB	CC BY-SA 3.0	Fenliokao	File:The Royal Pavilion Brighton UK.jpg
w02-islam-alhambra.webp	2	1200x800	164KB	CC BY-SA 2.0	gruban	File:Tassellatura alhambra.jpg
w02-mahogany.webp	2	835x1200	33KB	CC0		File:Chippendale Carved Mahogany Side Chair MET DP265161.jpg
w02-osterley.webp	2	798x1200	77KB	CC BY 2.0	David Merrett from Daventry, England	File:Osterley House The Entrance Hall (22787379515).jpg
w02-print-gutenberg.webp	2	1200x800	74KB	CC BY 2.0	Joshua Keller	File:Gutenberg Bible, New York Public Library, USA. Pic 01.jpg
w02-renaissance-vitruvian.webp	2	882x1200	203KB	Public domain	Leonardo da Vinci	File:Da Vinci Vitruve Luc Viatour.jpg
w02-riesener.webp	2	807x1200	150KB	CC BY-SA 3.0	Myrabella	File:Cabinet dore Marie-Antoinette Versailles.jpg
w02-rococo.webp	2	1200x800	335KB	CC BY-SA 2.0	Eric Kilby from Somerville, MA, USA	File:Wurzburg Residence - Mirror Cabinet - Flickr - Eric Kilby.jpg
w02-rome-pantheon.webp	2	1200x676	49KB	CC BY-SA 4.0	T. Le Berre	File:Interior oculus of the Rome Pantheon.jpg
w02-terracotta.webp	2	1200x900	143KB	CC BY 2.0	Peter Dowley	File:Terracotta Warriors (2661111239).jpg
w03-01-015.webp	3	900x693	162KB	Public Domain	윌리엄 호가드, 『미의 분석』 도판 1, 1753년	(슬라이드 캡션 기준)
w03-01-016.webp	3	904x1200	48KB	Chazen Museum, CC0	웨지우드 앤 선즈, 포틀랜드 화병 복제, 1880년경	(슬라이드 캡션 기준)
w03-01-017.webp	3	1000x825	68KB	CC BY-SA 3.0	제니 방적기	(슬라이드 캡션 기준)
w03-01-018.webp	3	1100x567	111KB	CC BY-SA 4.0	아이언브리지, 영국 슈롭셔 (1777~1779)	(슬라이드 캡션 기준)
w03-01-019.webp	3	751x1100	56KB	CC0	비더마이어 의자, 남부 독일, 1820년경	(슬라이드 캡션 기준)
w03-01-020.webp	3	664x1000	59KB	Free Art License	마이클 토넷, 모델 14번 의자, 1859년	(슬라이드 캡션 기준)
w04-01-021.webp	4	800x1000	47KB	CC0	앨버트 공, 빈터할터 그림	(슬라이드 캡션 기준)
w04-01-022.webp	4	1000x761	137KB	Public Domain	필립 헨리 델라모트, 1850년대	(슬라이드 캡션 기준)
w04-01-023.webp	4	1000x662	99KB	CC BY-SA 3.0	대왕수련 잎 뒷면의 구조	(슬라이드 캡션 기준)
w04-01-024.webp	4	1000x325	7KB	Public Domain	스프링필드 병기창 머스킷소총, 1861년 모델	(슬라이드 캡션 기준)
w04-01-025.webp	4	1000x649	19KB	Public Domain	콜트 싱글액션 아미 리볼버, 1873년 디자인	(슬라이드 캡션 기준)
w05-01-026.webp	5	1000x680	162KB	Public Domain	존 에버렛 밀레이, 「오필리아」, 1851~52	(슬라이드 캡션 기준)
w05-01-027.webp	5	825x1200	69KB	Public Domain	윌리엄 모리스	(슬라이드 캡션 기준)
w05-01-028.webp	5	1000x750	163KB	Public Domain	레드 하우스, 벡슬리히스, 필립 웹 설계	(슬라이드 캡션 기준)
w05-01-029.webp	5	1000x641	169KB	Public Domain	윌리엄 모리스, '딸기 도둑', 1883	(슬라이드 캡션 기준)
w05-01-030.webp	5	1000x702	88KB	Public Domain	C.F.A. 보이시 설계, 서리 셰클퍼드의 주택	(슬라이드 캡션 기준)
w05-01-031.webp	5	1000x750	97KB	CC BY 2.0	리버티 백화점, 런던	(슬라이드 캡션 기준)
w05-01-032.webp	5	667x1000	57KB	CC BY-SA 3.0	아치발드 녹스 디자인, 리버티 튜드릭 백랍 화병	(슬라이드 캡션 기준)
w05-01-033.webp	5	699x1000	44KB	Public Domain	모리스사 서섹스 의자, 1870년경	(슬라이드 캡션 기준)
w05-01-034.webp	5	1000x718	35KB	Public Domain	크리스토퍼 드레서, 모델 2274번 찻주전자, 1879	(슬라이드 캡션 기준)
